,class,country,countrycode,dead_during_wave,population,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
36,1.0,China,CHN,4738.0,1397715000.0,2020-01-22,2020-01-11,2020-01-21,1.0,2020-11-27,2020-01-11
37,2.0,Côte d'Ivoire,CIV,127.0,25716544.0,2020-04-21,2020-03-30,2020-04-13,1.0,2020-11-12,2020-03-19
38,1.0,Democratic Republic of the Congo,COD,331.0,86790567.0,2020-04-02,2020-03-22,2020-03-29,1.0,2020-11-27,2020-03-22
39,1.0,Colombia,COL,36018.0,50339443.0,2020-03-30,2020-03-22,2020-03-27,1.0,2020-11-27,2020-03-22
40,1.0,Cape Verde,CPV,103.0,549935.0,2020-06-27,2020-03-25,2020-06-03,1.0,2020-11-27,2020-03-25
41,1.0,Costa Rica,CRI,1678.0,5047561.0,2020-05-17,2020-03-19,2020-04-21,1.0,2020-11-27,2020-03-19
42,1.0,Cuba,CUB,132.0,11333483.0,2020-04-08,2020-03-19,2020-04-01,1.0,2020-11-27,2020-03-19
43,1.0,Curaçao,CUW,2.0,157538.0,,2020-03-26,,1.0,2020-11-27,2020-03-26
44,1.0,Cyprus,CYP,45.0,1198575.0,2020-04-10,2020-03-25,2020-03-28,1.0,2020-11-27,2020-03-25
45,3.0,Czech Republic,CZE,290.0,10669709.0,2020-03-29,2020-03-23,2020-03-26,1.0,2020-05-14,2020-03-01
46,3.0,Czech Republic,CZE,7489.0,10669709.0,2020-05-20,2020-05-15,2020-05-16,2.0,2020-11-27,2020-05-14
47,3.0,Germany,DEU,8791.0,83132799.0,2020-03-16,2020-03-10,2020-03-13,1.0,2020-06-15,2020-02-25
48,3.0,Germany,DEU,6795.0,83132799.0,2020-06-17,2020-06-16,2020-06-16,2.0,2020-11-27,2020-06-15
49,4.0,Djibouti,DJI,3.0,973560.0,2020-05-22,2020-04-10,2020-05-19,1.0,2020-05-09,2020-03-25
50,4.0,Djibouti,DJI,57.0,973560.0,2020-05-26,2020-05-16,2020-05-21,2.0,2020-08-29,2020-05-09
51,3.0,Denmark,DNK,608.0,5818553.0,2020-03-22,2020-03-16,2020-03-20,1.0,2020-07-10,2020-03-16
52,3.0,Denmark,DNK,202.0,5818553.0,2020-08-11,2020-07-14,2020-07-30,2.0,2020-11-27,2020-07-10
53,2.0,Dominican Republic,DOM,1736.0,10738958.0,2020-03-26,2020-03-21,2020-03-25,1.0,2020-09-02,2020-03-21
54,3.0,Algeria,DZA,1801.0,43053054.0,2020-03-21,2020-03-13,2020-03-18,1.0,2020-10-12,2020-02-25
55,3.0,Algeria,DZA,551.0,43053054.0,2020-10-14,2020-10-13,2020-10-13,2.0,2020-11-27,2020-10-12
56,3.0,Ecuador,ECU,3334.0,17373662.0,2020-03-23,2020-03-14,2020-03-21,1.0,2020-05-31,2020-02-29
57,3.0,Ecuador,ECU,9982.0,17373662.0,2020-06-01,2020-06-01,2020-06-01,2.0,2020-11-27,2020-05-31
58,2.0,Egypt,EGY,6040.0,100388073.0,2020-03-23,2020-03-09,2020-03-19,1.0,2020-10-12,2020-03-01
59,3.0,Spain,ESP,26478.0,47076781.0,2020-03-10,2020-03-05,2020-03-07,1.0,2020-05-09,2020-02-24
60,3.0,Spain,ESP,17896.0,47076781.0,2020-05-10,2020-05-10,2020-05-10,2.0,2020-11-26,2020-05-09
61,3.0,Estonia,EST,63.0,1326590.0,2020-04-03,2020-03-26,2020-04-02,1.0,2020-06-28,2020-02-27
